Timestamp,Stimulus,Action,Correct,Reaction_Time_ms
2025-07-12 11:22:32,Go,Shoot,Yes,1243
2025-07-12 11:22:33,Go,No Shot,No,
2025-07-12 11:22:33,Go,No Shot,No,
2025-07-12 11:22:33,Go,No Shot,No,
2025-07-12 11:22:33,Go,No Shot,No,
2025-07-12 11:22:34,Go,No Shot,No,
2025-07-12 11:22:34,Go,No Shot,No,
2025-07-12 11:22:34,Go,No Shot,No,
2025-07-12 11:22:34,No-Go,No Shot,Yes,
2025-07-12 11:22:34,Go,No Shot,No,
2025-07-12 11:22:35,Go,No Shot,No,
2025-07-12 11:22:35,Go,No Shot,No,
2025-07-12 11:22:35,Go,No Shot,No,
2025-07-12 11:22:35,Go,No Shot,No,
2025-07-12 11:22:35,Go,No Shot,No,
2025-07-12 11:22:36,Go,No Shot,No,
2025-07-12 11:22:36,No-Go,No Shot,Yes,
2025-07-12 11:22:36,Go,No Shot,No,
2025-07-12 11:22:36,No-Go,No Shot,Yes,
2025-07-12 11:22:37,Go,No Shot,No,
2025-07-12 11:22:37,Go,No Shot,No,
2025-07-12 11:22:37,Go,No Shot,No,
2025-07-12 11:22:37,Go,No Shot,No,
2025-07-12 11:22:37,Go,No Shot,No,
2025-07-12 11:22:38,Go,No Shot,No,
2025-07-12 11:22:38,No-Go,No Shot,Yes,
2025-07-12 11:22:38,Go,No Shot,No,
2025-07-12 11:22:38,No-Go,No Shot,Yes,
2025-07-12 11:22:38,Go,No Shot,No,
2025-07-12 11:22:39,Go,Shoot,Yes,1295
2025-07-12 11:22:39,Go,No Shot,No,
2025-07-12 11:22:39,Go,No Shot,No,
2025-07-12 11:22:39,Go,Shoot,Yes,1175
2025-07-12 11:22:39,Go,No Shot,No,
2025-07-12 11:22:39,Go,Shoot,Yes,1175
2025-07-12 11:22:39,No-Go,No Shot,Yes,
2025-07-12 11:22:40,No-Go,No Shot,Yes,
2025-07-12 11:22:40,No-Go,No Shot,Yes,
2025-07-12 11:22:41,Go,No Shot,No,
2025-07-12 11:22:41,Go,No Shot,No,
2025-07-12 11:22:41,Go,No Shot,No,
2025-07-12 11:22:41,Go,No Shot,No,
2025-07-12 11:22:41,Go,No Shot,No,
